INFO   | jvm 1    | 2013/12/28 14:00:22 | 102902027 2013-12-28 14:00:22,179 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:00:22 | 102902027 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:00:27 | 102907027 2013-12-28 14:00:27,179 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:00:27 | 102907027 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:00:30 | 102909778 2013-12-28 14:00:29,930 [WatchDog] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:00:30 | 102909778 [WatchDog] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:00:32 | 102912028 2013-12-28 14:00:32,180 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:00:32 | 102912028 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:00:37 | 102917028 2013-12-28 14:00:37,180 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:00:37 | 102917028 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:00:42 | 102922028 2013-12-28 14:00:42,180 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:00:42 | 102922028 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:00:45 | 102924779 2013-12-28 14:00:44,931 [WatchDog] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:00:45 | 102924779 [WatchDog] DEBUG smslib  - Running...
